"TimeGenerated [UTC]","ContainerImage_s","ContainerName_s","RevisionName_s","Log_s"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      locationEndpointsContacted: [],"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      metadataDiagnostics: [Object],"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      retryDiagnostics: [Object],"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      gatewayStatistics: [],"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      encryptionDiagnostics: undefined"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    },"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    diagnosticNode: undefined,"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    clientConfig: undefined"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","  }"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","}"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","Error fetching counter: Error: invalid input: input is not string"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at trimSlashFromLeftAndRight (/app/node_modules/@azure/cosmos/dist/commonjs/common/helper.js:260:15)"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at createDocumentUri (/app/node_modules/@azure/cosmos/dist/commonjs/common/uriFactory.js:76:60)"
